Series Name	Series Code	Country Name	Country Code	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Afghanistan	AFG	54.959	55.482	56.044	56.637	57.25	57.875	58.5	59.11	59.694	60.243	60.754	61.226	61.666	62.086	62.494	62.895	63.288	63.673	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Albania	ALB	73.588	73.955	74.286	74.575	74.82	75.028	75.217	75.418	75.656	75.943	76.281	76.652	77.031	77.389	77.702	77.963	78.174	78.345	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Algeria	DZA	69.822	70.292	70.778	71.276	71.78	72.281	72.767	73.225	73.648	74.032	74.374	74.676	74.944	75.187	75.418	75.641	75.86	76.078	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Angola	AGO	46.105	47.113	48.2	49.341	50.508	51.676	52.833	53.974	55.096	56.189	57.231	58.192	59.042	59.77	60.373	60.858	61.241	61.547	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Antigua and Barbuda	ATG	73.327	73.541	73.752	73.957	74.158	74.354	74.544	74.727	74.905	75.078	75.247	75.412	75.574	75.733	75.892	76.05	76.207	76.364	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Argentina	ARG	73.618	73.832	74.039	74.236	74.424	74.603	74.775	74.941	75.105	75.268	75.431	75.595	75.761	75.926	76.089	76.252	76.415	76.577	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Armenia	ARM	70.944	71.409	71.8	72.112	72.347	72.512	72.625	72.715	72.815	72.946	73.119	73.331	73.571	73.814	74.044	74.255	74.445	74.618	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Aruba	ABW	73.738	73.787	73.853	73.937	74.038	74.156	74.287	74.429	74.576	74.725	74.872	75.016	75.158	75.299	75.44	75.582	75.725	75.867	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Australia	AUS	78.9317073170732	79.2341463414634	79.6341463414634	79.9365853658537	80.2390243902439	80.490243902439	80.8414634146341	81.0414634146342	81.2926829268293	81.3951219512195	81.5439024390244	81.6951219512195	81.8951219512195	82.0463414634146	82.1487804878049	82.3	82.4	82.5	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Austria	AUT	77.8756097560976	78.1268292682927	78.5756097560976	78.6780487804878	78.6317073170732	79.1804878048781	79.3317073170732	79.8804878048781	80.1804878048781	80.4317073170732	80.3317073170732	80.5804878048781	80.9829268292683	80.9365853658537	81.1365853658537	81.490243902439	81.190243902439	80.890243902439	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Azerbaijan	AZE	66.491	66.763	67.054	67.391	67.791	68.249	68.75	69.269	69.774	70.238	70.646	70.987	71.26	71.478	71.656	71.8	71.921	72.026	..	..
"Life expectancy at birth, total (years)"	SP.DYN.LE00.IN	Bahamas, The	BHS	72.093	72.37	72.668	72.971	73.264	73.538	73.787	74.012	74.218	74.41	74.591	74.761	74.923	75.079	75.23	75.379	75.527	75.675	..	..
